Year,Rank,Song,Artist,track_id,danceability,energy,speechiness,loudness,temp,valence
2015,1,Uptown Funk,Mark Ronson ,32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,0.0824,-7.223,114.988,0.928
2015,2,Thinking Out Loud,Ed Sheeran,34gCuhDGsG4bRPIf9bb02f,0.781,0.445,0.0295,-6.061,78.998,0.591
2015,3,See You Again,Wiz Khalifa ,2JzZzZUQj3Qff7wapcbKjc,0.689,0.481,0.0815,-7.503,80.025,0.283
2015,4,Trap Queen,Fetty Wap,2d8JP84HNLKhmd6IYOoupQ,0.746,0.873,0.128,-3.803,148.075,0.817
2015,5,Sugar,Maroon 5,2iuZJX9X9P0GKaE93xcPjk,0.748,0.788,0.0334,-7.055,120.076,0.884
2015,6,Shut Up and Dance,Walk the Moon,4kbj5MwxO1bq9wjT5g9HaA,0.578,0.866,0.0619,-3.804,128.038,0.619
2015,7,Blank Space,Taylor Swift,1p80LdxRV74UKvL8gnD7ky,0.753,0.678,0.0644,-5.421,96.006,0.583
2015,8,Watch Me,Silentó,5RIVoVdkDLEygELLCniZFr,0.821,0.759,0.121,-8.541,140.01,0.962
2015,9,Earned It,The Weeknd,4frLb7nWtsz2ymBE6k2GRP,0.657,0.291,0.0348,-8.275,119.782,0.405
2015,10,The Hills,The Weeknd,7fBv7CLKzipRk6EC6TWHOB,0.585,0.564,0.0515,-7.063,113.003,0.137
2015,11,Cheerleader (Felix Jaehn Remix),OMI,023OVLNzXhX0j7CxswUt6D,0.78,0.68,0.0305,-6.081,118.026,0.594
2015,12,Can't Feel My Face,The Weeknd,0HehvJvcNHzqCronH48ZLQ,0.611,0.685,0.053,-6.188,108.002,0.28
2015,13,Love Me Like You Do,Ellie Goulding,0Cy7wt6IlRfBPHXXjmZbcP,0.489,0.597,0.0292,-6.633,95.013,0.323
2015,14,Take Me to Church,Hozier,1CS7Sd1u5tWkstBhpssyjP,0.566,0.664,0.0464,-5.303,128.945,0.437
2015,15,Bad Blood,Taylor Swift ,273dCMFseLcVsoSWx59IoE,0.65,0.802,0.181,-6.114,170.146,0.295
2015,16,Lean On,Major Lazer ,01aTsQoKoeXofSTvKuunzv,0.723,0.809,0.0625,-3.081,98.007,0.274
2015,17,Want to Want Me,Jason Derulo,7oGZAicScQt96OAW4AruYy,0.775,0.68,0.0629,-5.508,114.025,0.656
2015,18,Shake It Off,Taylor Swift,5xTtaWoae3wi06K5WfVUUH,0.647,0.785,0.165,-5.414,160.015,0.943
2015,19,Where Are Ü Now,Skrillex ,1CjiAOoegmUDgbhKzAqSkl,0.451,0.876,0.0362,-5.378,139.908,0.353
2015,20,Fight Song,Rachel Platten,37f4ITSlgPX81ad2EvmVQr,0.564,0.714,0.129,-4.987,175.924,0.33
2015,21,679,Fetty Wap ,5NQbUaeTEOGdD6hHcre0dZ,0.618,0.717,0.318,-5.738,190.05,0.603
2015,22,Lips Are Movin,Meghan Trainor,6gj08XDlv9Duc2fPOxUmVD,0.775,0.825,0.0464,-5.402,139.091,0.95
2015,23,Worth It,Fifth Harmony ,41Fflg7qHiVOD6dEPvsCzO,0.884,0.765,0.0882,-3.865,99.987,0.594
2015,24,Post to Be,Omarion ,0fgZUSa7D7aVvv3GfO0A1n,0.733,0.676,0.0432,-5.655,97.448,0.701
2015,25,"Honey, I'm Good.",Andy Grammer,4Tt6GiWS2V9sQjZjS2xjp2,0.754,0.802,0.0551,-6.424,122.026,0.583
2015,26,I'm Not the Only One,Sam Smith,5RYtz3cpYb28SV8f1FBtGc,0.715,0.518,0.0459,-7.108,82.076,0.556
2015,27,Good for You,Selena Gomez ,578Eooad7oUyn4stovZiPg,0.609,0.674,0.0502,-6.484,88.945,0.228
2015,28,All About That Bass,Meghan Trainor,5jE48hhRu8E6zBDPRSkEq7,0.807,0.887,0.0503,-3.726,134.052,0.961
2015,29,Style,Taylor Swift,4lIxdJw6W3Fg4vUIYCB0S5,0.598,0.786,0.0383,-5.572,95.019,0.456
2015,30,Hotline Bling,Drake,0wwPcA6wtMf6HUMpIRdeP7,0.891,0.628,0.0551,-7.863,134.966,0.552
